date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-09-11,1240,茂生農經,TPEX,44232373,1609138,0.0
2025-09-11,1259,安心,TPEX,32389500,8468329,0.0
2025-09-11,1264,德麥,TPEX,37064367,552119,0.0
2025-09-11,1268,漢來美食,TPEX,42223730,763841,0.0
2025-09-11,1294,漢田生技,TPEX,31027563,116819,0.0
2025-09-11,1295,生合,TPEX,34474800,114000,0.0
2025-09-11,1336,台翰,TPEX,77614419,3314976,0.0
2025-09-11,1565,精華,TPEX,50416516,4727274,0.0
2025-09-11,1569,濱川,TPEX,132547441,3492870,0.0
2025-09-11,1570,力肯,TPEX,51500839,1068140,0.0
2025-09-11,1580,新麥,TPEX,49339242,2616583,0.0
2025-09-11,1584,精剛,TPEX,232470533,5202367,0.0
2025-09-11,1586,和勤,TPEX,106849467,1374759,0.0
2025-09-11,1591,駿吉-KY,TPEX,38048047,927822,0.0
2025-09-11,1593,祺驊,TPEX,39784772,2346144,0.0
2025-09-11,1595,川寶,TPEX,54151980,717637,0.0
2025-09-11,1599,宏佳騰,TPEX,74528764,5814946,0.0
2025-09-11,1742,台蠟,TPEX,93559300,207848,0.0
2025-09-11,1777,生泰,TPEX,44591713,663052,0.0
2025-09-11,1781,合世,TPEX,47407605,301171,0.0
2025-09-11,1784,訊聯,TPEX,53121191,1596948,0.0
2025-09-11,1785,光洋科,TPEX,596022243,89684573,0.0
2025-09-11,1788,杏昌,TPEX,44520971,4858995,0.0
2025-09-11,1796,金穎生技,TPEX,41459793,314002,0.0
2025-09-11,1799,易威,TPEX,124689527,15085234,0.0
2025-09-11,1813,寶利徠,TPEX,46635510,4412704,0.0
2025-09-11,1815,富喬,TPEX,520430396,51305310,0.0
2025-09-11,2035,唐榮,TPEX,350000000,227014,0.0
2025-09-11,2061,風青,TPEX,57378052,1128042,0.0
2025-09-11,2063,世鎧,TPEX,48101453,470328,0.0
2025-09-11,2064,晉椿,TPEX,69330000,45000,0.0
2025-09-11,2065,世豐,TPEX,63516707,797051,0.0
2025-09-11,2066,世德,TPEX,44449527,4316797,0.0
2025-09-11,2067,嘉鋼,TPEX,45138177,5061395,0.0
2025-09-11,2070,精湛,TPEX,35782800,1052648,0.0
2025-09-11,2073,雄順,TPEX,27500000,13000,0.0
2025-09-11,2221,大甲,TPEX,42325000,288020,0.0
2025-09-11,2230,泰茂,TPEX,68029605,1097635,0.0
2025-09-11,2235,謚源,TPEX,35878000,40000,0.0
2025-09-11,2596,綠意,TPEX,100000000,371644,0.0
2025-09-11,2640,大車隊,TPEX,59264956,4196860,0.0
2025-09-11,2641,正德,TPEX,318271229,28469623,0.0
2025-09-11,2643,捷迅,TPEX,35000000,510126,0.0
2025-09-11,2718,全心投控,TPEX,87576000,638001,0.0
2025-09-11,2719,燦星旅,TPEX,68969500,101756,0.0
2025-09-11,2724,藝舍-KY,TPEX,59656345,9007964,0.0
2025-09-11,2726,雅茗-KY,TPEX,27922454,8851900,0.0
2025-09-11,2729,瓦城,TPEX,43413783,794190,0.0
2025-09-11,2732,六角,TPEX,46518570,1690108,0.0
2025-09-11,2734,易飛網,TPEX,57259760,2262292,0.0
2025-09-11,2736,富野,TPEX,79972230,467009,0.0
2025-09-11,2740,天蔥,TPEX,13952016,279836,0.0
2025-09-11,2743,山富,TPEX,46815210,600158,0.0
2025-09-11,2745,五福,TPEX,33808526,1403576,0.0
2025-09-11,2751,王座,TPEX,19600000,87387,0.0
2025-09-11,2752,豆府,TPEX,26693861,318285,0.0
2025-09-11,2754,亞洲藏壽司,TPEX,46861000,32149180,0.0
2025-09-11,2755,揚秦,TPEX,36429305,477476,0.0
2025-09-11,2756,聯發國際,TPEX,24542820,385320,0.0
2025-09-11,2916,滿心,TPEX,64626878,13685993,0.0
2025-09-11,2924,宏太-KY,TPEX,52035934,34765760,0.0
2025-09-11,2926,誠品生活,TPEX,47389650,520202,0.0
2025-09-11,2937,集雅社,TPEX,43541975,35901,0.0
2025-09-11,2941,米斯特,TPEX,15390000,74000,0.0
2025-09-11,2947,振宇五金,TPEX,21487460,207053,0.0
2025-09-11,2948,寶陞,TPEX,30000000,38318,0.0
2025-09-11,2949,欣新網,TPEX,30641100,11292,0.0
2025-09-11,3064,泰偉,TPEX,13011451,17592,0.0
2025-09-11,3066,李洲,TPEX,83070612,485318,0.0
2025-09-11,3067,全域,TPEX,20000000,9452,0.0
2025-09-11,3071,協禧,TPEX,110000000,1039845,0.0
2025-09-11,3073,天方能源,TPEX,39511028,265106,0.0
2025-09-11,3078,僑威,TPEX,227391064,54431009,0.0
2025-09-11,3081,聯亞,TPEX,92521377,16911902,0.0
2025-09-11,3083,網龍,TPEX,86486858,715076,0.0
2025-09-11,3085,新零售,TPEX,69019288,3930294,0.0
2025-09-11,3086,華義,TPEX,27271051,11538773,0.0
2025-09-11,3088,艾訊,TPEX,107563017,10546113,0.0
2025-09-11,3093,港建*,TPEX,145155576,98727396,0.0
2025-09-11,3095,及成,TPEX,14680000,528244,0.0
2025-09-11,3105,穩懋,TPEX,423940384,90906775,0.0
2025-09-11,3114,好德,TPEX,65129792,375682,0.0
2025-09-11,3115,富榮綱,TPEX,57197615,1498707,0.0
2025-09-11,3118,進階,TPEX,32452860,128073,0.0
